S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
24.0,SANDIP DADARAO MANKAR,Independent,1373,2,1375,0.11,19 - Aurangabad (Maharashtra),13,19
25.0,ADV B U GOSAWI,Hindustan Janta Party,1271,4,1275,0.1,19 - Aurangabad (Maharashtra),13,19
26.0,PANCHASHILA BABULAL JADHAV,Republican Bahujan Sena,1267,7,1274,0.1,19 - Aurangabad (Maharashtra),13,19
27.0,PRATIKSHA PRASHANT CHAVAN,Ambedkarist Republican Party,1187,7,1194,0.09,19 - Aurangabad (Maharashtra),13,19
28.0,BHANUDAS SON OF RAMDAS SARODE PATIL,Independent,1107,3,1110,0.09,19 - Aurangabad (Maharashtra),13,19
29.0,NARAYAN JADHAV,Peoples Party of India (Democratic),1100,3,1103,0.08,19 - Aurangabad (Maharashtra),13,19
30.0,SURESH ASARAM FULARE,Independent,910,1,911,0.07,19 - Aurangabad (Maharashtra),13,19
31.0,SHAIKH KHAJA KISMATWALA KASIM KISMATWALA,Independent,892,2,894,0.07,19 - Aurangabad (Maharashtra),13,19
32.0,MEENASING AVDHESHSING SING,Independent,783,1,784,0.06,19 - Aurangabad (Maharashtra),13,19
33.0,LATIF JABBAR KHAN,Independent,765,-,765,0.06,19 - Aurangabad (Maharashtra),13,19
34.0,JAGANNATH KISAN UGALE,Independent,753,2,755,0.06,19 - Aurangabad (Maharashtra),13,19
35.0,SANDIP DEVIDAS JADHAV,Independent,609,-,609,0.05,19 - Aurangabad (Maharashtra),13,19
36.0,DEVIDAS RATAN KASBE,Independent,595,-,595,0.05,19 - Aurangabad (Maharashtra),13,19
37.0,TRIBHUVAN MADHUKAR PADMAKAR,Independent,593,-,593,0.05,19 - Aurangabad (Maharashtra),13,19
38.0,NOTA,None of the Above,5729,44,5773,0.44,19 - Aurangabad (Maharashtra),13,19
,Total,,1297724,4473,1302197,,19 - Aurangabad (Maharashtra),13,19
1.0,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,575291,2048,577339,46.53,20 - Dindori (Maharashtra),13,20
2.0,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,462333,1807,464140,37.4,20 - Dindori (Maharashtra),13,20
3.0,BABU SADU BHAGRE (SIR),Independent,103526,106,103632,8.35,20 - Dindori (Maharashtra),13,20
4.0,DHOMSE MALATI RAHUL,Vanchit Bahujan Aaghadi,37006,97,37103,2.99,20 - Dindori (Maharashtra),13,20
5.0,JAGTAP DIPAK GANPAT,Independent,15664,17,15681,1.26,20 - Dindori (Maharashtra),13,20
6.0,TULSHIRAM CHIMAN KHOTARE,Bahujan Samaj Party,9589,65,9654,0.78,20 - Dindori (Maharashtra),13,20
7.0,KISHOR AMBADAS DAGALE,Ambedkarite Party of India,8032,23,8055,0.65,20 - Dindori (Maharashtra),13,20
8.0,ANIL GAWALIRAM BARDE,Independent,6432,9,6441,0.52,20 - Dindori (Maharashtra),13,20
9.0,BHARAT ARUN PAWAR,Bahujan Republican Socialist Party,5613,8,5621,0.45,20 - Dindori (Maharashtra),13,20
10.0,GULAB MOHAN BARDE,Prabuddha Republican Party,4983,15,4998,0.4,20 - Dindori (Maharashtra),13,20
11.0,NOTA,None of the Above,8206,40,8246,0.66,20 - Dindori (Maharashtra),13,20
,Total,,1236675,4235,1240910,,20 - Dindori (Maharashtra),13,20
1.0,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),614517,2212,616729,49.85,21 - Nashik (Maharashtra),13,21
2.0,GODSE HEMANT TUKARAM,Shiv Sena,453414,1314,454728,36.75,21 - Nashik (Maharashtra),13,21
3.0,KARAN PANDHARINATH GAIKAR,Vanchit Bahujan Aaghadi,47114,79,47193,3.81,21 - Nashik (Maharashtra),13,21
4.0,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,44415,109,44524,3.6,21 - Nashik (Maharashtra),13,21
5.0,ARUN MADHUKAR KALE,Bahujan Samaj Party,7698,53,7751,0.63,21 - Nashik (Maharashtra),13,21
6.0,CHANDRAKANT KESHAVRAO THAKUR,Independent,6607,1,6608,0.53,21 - Nashik (Maharashtra),13,21
7.0,AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,4980,17,4997,0.4,21 - Nashik (Maharashtra),13,21
8.0,DARSHANA AMOL MEDHE,Prabuddha Republican Party,4730,6,4736,0.38,21 - Nashik (Maharashtra),13,21
9.0,KANOJE PRAKASH GIRDHARI,Independent,3917,3,3920,0.32,21 - Nashik (Maharashtra),13,21
10.0,VAMAN MAHADEV SANGALE,Dharmarajya Paksha,3861,-,3861,0.31,21 - Nashik (Maharashtra),13,21
11.0,SUDHIR SHRIDHAR DESHMUKH,Independent,3162,5,3167,0.26,21 - Nashik (Maharashtra),13,21
12.0,JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,3125,7,3132,0.25,21 - Nashik (Maharashtra),13,21
13.0,ARIF USMAN MANSURI,Independent,2538,5,2543,0.21,21 - Nashik (Maharashtra),13,21
14.0,GANESH BALASAHEB BORASTE,Independent,2403,1,2404,0.19,21 - Nashik (Maharashtra),13,21
15.0,JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,2398,28,2426,0.2,21 - Nashik (Maharashtra),13,21
16.0,SIDDHESHWARANAND SARASWATI,Independent,2378,10,2388,0.19,21 - Nashik (Maharashtra),13,21
17.0,SUSHAMA ABHIJIT GORANE,Independent,2258,2,2260,0.18,21 - Nashik (Maharashtra),13,21
18.0,KANTILAL KISAN JADHAV,Ambedkarite Party of India,2047,8,2055,0.17,21 - Nashik (Maharashtra),13,21
19.0,CHANDRABHAN AABAJI PURKAR,Independent,1888,2,1890,0.15,21 - Nashik (Maharashtra),13,21
20.0,YASHWANT VALU PARDHI,Bhartiya Asmita Party,1867,7,1874,0.15,21 - Nashik (Maharashtra),13,21
21.0,KAILASH MARUTI CHAVAN,Aam Janta Party (India),1686,17,1703,0.14,21 - Nashik (Maharashtra),13,21
22.0,KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg Adhikar Dal,1639,7,1646,0.13,21 - Nashik (Maharashtra),13,21
23.0,DHANAJI ASHOK TOPALE,Independent,1376,-,1376,0.11,21 - Nashik (Maharashtra),13,21
24.0,BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,1242,2,1244,0.1,21 - Nashik (Maharashtra),13,21
25.0,SOPAN NIVRUTTI SOMWANSHI,Independent,1210,1,1211,0.1,21 - Nashik (Maharashtra),13,21
26.0,ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican Socialist Party,1205,5,1210,0.1,21 - Nashik (Maharashtra),13,21
27.0,KOLAPPA HANUMANT DHOTRE,Independent,1198,2,1200,0.1,21 - Nashik (Maharashtra),13,21
28.0,TILOTTAMA SUNIL JAGTAP,Independent,654,2,656,0.05,21 - Nashik (Maharashtra),13,21
29.0,DEEPAK GAIKWAD,Independent,640,2,642,0.05,21 - Nashik (Maharashtra),13,21
30.0,SACHINRAJE DATTATREYA DEORE,Independent,549,2,551,0.04,21 - Nashik (Maharashtra),13,21
31.0,DEVIDAS PIRAJI SARKATE,Independent,392,2,394,0.03,21 - Nashik (Maharashtra),13,21
32.0,NOTA,None of the Above,6144,41,6185,0.5,21 - Nashik (Maharashtra),13,21
,Total,,1233252,3952,1237204,,21 - Nashik (Maharashtra),13,21
1.0,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,600208,1036,601244,43.69,22 - Palghar (Maharashtra),13,22
2.0,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),416822,1116,417938,30.37,22 - Palghar (Maharashtra),13,22
3.0,RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,254011,506,254517,18.5,22 - Palghar (Maharashtra),13,22
4.0,BHARAT SAMJI VANGA,Bahujan Samaj Party,15425,40,15465,1.12,22 - Palghar (Maharashtra),13,22
5.0,MEENA KISHOR BHAD,Independent,14223,12,14235,1.03,22 - Palghar (Maharashtra),13,22
6.0,VIJAYA RAJKUMAR MHATRE,Vanchit Bahujan Aaghadi,10882,54,10936,0.79,22 - Palghar (Maharashtra),13,22
7.0,MOHAN BARAKU GUHE,Bharat Adivasi Party,10737,24,10761,0.78,22 - Palghar (Maharashtra),13,22
8.0,DINKAR DATTATRAYA WADHAN,Independent,10672,15,10687,0.78,22 - Palghar (Maharashtra),13,22
9.0,AMAR KISAN KAVALE,Independent,9806,15,9821,0.71,22 - Palghar (Maharashtra),13,22
10.0,COMRADE RAHUL MEDHA,Marxist Leninist Party of India (Red Flag),7061,24,7085,0.51,22 - Palghar (Maharashtra),13,22
11.0,NOTA,None of the Above,23312,73,23385,1.7,22 - Palghar (Maharashtra),13,22
,Total,,1373159,2915,1376074,,22 - Palghar (Maharashtra),13,22
1.0,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,498199,1265,499464,39.85,23 - Bhiwandi (Maharashtra),13,23
2.0,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,431907,1436,433343,34.57,23 - Bhiwandi (Maharashtra),13,23
3.0,NILESH BHAGWAN SAMBARE,Independent,230254,1163,231417,18.46,23 - Bhiwandi (Maharashtra),13,23
4.0,KANCHAN VINAYAK VAKHARE,New Rashtriya Samaj Party,24607,18,24625,1.96,23 - Bhiwandi (Maharashtra),13,23
5.0,TARA PINTYA WAGHE,Independent,6908,-,6908,0.55,23 - Bhiwandi (Maharashtra),13,23
6.0,MUMATAZ ABDULSATTAR ANSARI,Bahujan Samaj Party,6801,21,6822,0.54,23 - Bhiwandi (Maharashtra),13,23
7.0,MANISHA SANTOSH GONDHALE,Independent,5120,-,5120,0.41,23 - Bhiwandi (Maharashtra),13,23
8.0,MANOJ GOVAR TURE,Independent,4896,1,4897,0.39,23 - Bhiwandi (Maharashtra),13,23
9.0,JAHID MURABTAR ANSARI,Independent,4879,3,4882,0.39,23 - Bhiwandi (Maharashtra),13,23
10.0,CHANDRAKANT RAMBHAJI MOTE,Independent,3429,4,3433,0.27,23 - Bhiwandi (Maharashtra),13,23
11.0,RAHUL ASHOK KATHOLE,Independent,3131,4,3135,0.25,23 - Bhiwandi (Maharashtra),13,23
12.0,ASHOK BHIKU BAHADARE,Sanyukt Bharat Paksh,2044,3,2047,0.16,23 - Bhiwandi (Maharashtra),13,23
13.0,SURESH PANDAGALE,Apni Prajahit Party,1997,16,2013,0.16,23 - Bhiwandi (Maharashtra),13,23
14.0,MILIND KASHINATH KAMBLE,Independent,1843,18,1861,0.15,23 - Bhiwandi (Maharashtra),13,23
15.0,KHAN MOHD AKARAM ABDUL HANAN,All India Majlis-E-Ittehadul Muslimeen,1739,2,1741,0.14,23 - Bhiwandi (Maharashtra),13,23
16.0,DANISH EZAZ AH. SHAIKH,Bahujan Maha Party,1580,6,1586,0.13,23 - Bhiwandi (Maharashtra),13,23
17.0,HARSHAD RAMESH MHATRE,Independent,1568,-,1568,0.13,23 - Bhiwandi (Maharashtra),13,23
18.0,MUTKIRI SHANKAR NAGESH,Independent,1445,-,1445,0.12,23 - Bhiwandi (Maharashtra),13,23
19.0,KAPIL JAYHIND PATIL,Independent,1237,5,1242,0.1,23 - Bhiwandi (Maharashtra),13,23
20.0,SAIFAN CHAND PATHAN,Bhartiya Manavta Party,1188,1,1189,0.09,23 - Bhiwandi (Maharashtra),13,23
21.0,RANJANA RAVI TRIBHUWAN,Independent,1082,3,1085,0.09,23 - Bhiwandi (Maharashtra),13,23
22.0,MOHD. KALEEM ANSARI,Peoples Party of India (Democratic),934,3,937,0.07,23 - Bhiwandi (Maharashtra),13,23
23.0,WASEEM TUFAIL SIDDIQUI,Independent,803,2,805,0.06,23 - Bhiwandi (Maharashtra),13,23
24.0,SURESH SITARAM MHATRE,Independent,706,1,707,0.06,23 - Bhiwandi (Maharashtra),13,23
25.0,SONALI ASHOK GANGAWANE,Independent,698,-,698,0.06,23 - Bhiwandi (Maharashtra),13,23
26.0,AAPPA - VISHAL VIJAY MORE,Independent,598,3,601,0.05,23 - Bhiwandi (Maharashtra),13,23
27.0,PROF. AMEERUL HASAN SAYYED,Independent,479,2,481,0.04,23 - Bhiwandi (Maharashtra),13,23
28.0,NOTA,None of the Above,9266,81,9347,0.75,23 - Bhiwandi (Maharashtra),13,23
,Total,,1249338,4061,1253399,,23 - Bhiwandi (Maharashtra),13,23
1.0,DR SHRIKANT EKNATH SHINDE,Shiv Sena,587921,1715,589636,56.38,24 - Kalyan (Maharashtra),13,24
2.0,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),379236,1256,380492,36.39,24 - Kalyan (Maharashtra),13,24
3.0,MO. SAHABUDDIN SHAIKH SULEMANI THAKUR,Vanchit Bahujan Aaghadi,18697,44,18741,1.79,24 - Kalyan (Maharashtra),13,24
4.0,PRASHANT RAMESH INGLE,Bahujan Samaj Party,11285,56,11341,1.08,24 - Kalyan (Maharashtra),13,24
5.0,AMIT UPADHYAY,Right to Recall Party,4185,20,4205,0.4,24 - Kalyan (Maharashtra),13,24
6.0,ARUN BHAURAO NITURE,Rashtriya Kisan Bahujan Party,2751,2,2753,0.26,24 - Kalyan (Maharashtra),13,24
7.0,AMRISH RAJ MORAJKAR,Independent,2616,4,2620,0.25,24 - Kalyan (Maharashtra),13,24
8.0,ASHWINI AMOL KENDRE,Independent,2461,7,2468,0.24,24 - Kalyan (Maharashtra),13,24
9.0,NAFIS AHMED ANSARI,Independent,1997,3,2000,0.19,24 - Kalyan (Maharashtra),13,24
10.0,SUSHILA KASHINATH KAMBLE,Bahujan Samaj Party (Ambedkar),1847,11,1858,0.18,24 - Kalyan (Maharashtra),13,24
11.0,ABHIJIT WAMANRAO BICHUKALE,Independent,1823,1,1824,0.17,24 - Kalyan (Maharashtra),13,24
12.0,AJAY SHYAM MORYA,Independent,1798,4,1802,0.17,24 - Kalyan (Maharashtra),13,24
13.0,SAMBHAJI JAGANNATH JADHAV,Sanyukt Bharat Paksh,1607,2,1609,0.15,24 - Kalyan (Maharashtra),13,24
14.0,CHANDRAKANT RAMBHAJI MOTE,Independent,1378,2,1380,0.13,24 - Kalyan (Maharashtra),13,24
15.0,POONAM JAGANNATH BAISANE,Bahujan Republican Socialist Party,1376,5,1381,0.13,24 - Kalyan (Maharashtra),13,24
16.0,HINDURAO DADU PATIL,Rashtriya Maratha Party,1236,7,1243,0.12,24 - Kalyan (Maharashtra),13,24
17.0,GAWALI PRAVIN SHIVAJI,Apni Prajahit Party,1080,2,1082,0.1,24 - Kalyan (Maharashtra),13,24
18.0,ARUN VAMAN JADHAV,Independent,1077,5,1082,0.1,24 - Kalyan (Maharashtra),13,24
19.0,SHRIDHAR NARAYAN SALVE,Bhim Sena,1068,4,1072,0.1,24 - Kalyan (Maharashtra),13,24
20.0,SHRIKANT SHIVAJI VANJARE,Peoples Party of India (Democratic),806,2,808,0.08,24 - Kalyan (Maharashtra),13,24
21.0,PRAJAKTA NILESH YELVE,Independent,780,3,783,0.07,24 - Kalyan (Maharashtra),13,24
22.0,DNYANESHWAR LOKHANDE MAHARAJ,Independent,738,3,741,0.07,24 - Kalyan (Maharashtra),13,24
23.0,ADV. HITESH JAIKISHAN JESWANI,Independent,712,3,715,0.07,24 - Kalyan (Maharashtra),13,24
24.0,MOHAMMAD YUSUF KHAN,Independent,648,5,653,0.06,24 - Kalyan (Maharashtra),13,24
25.0,RAKESH KUMAR DHISULAL JAIN,Independent,599,3,602,0.06,24 - Kalyan (Maharashtra),13,24
26.0,SHIVA KRISHNAMURTI IYER,Independent,435,2,437,0.04,24 - Kalyan (Maharashtra),13,24
27.0,SALIMUDDIN KHALILUDDIN SHAIKH,Independent,370,1,371,0.04,24 - Kalyan (Maharashtra),13,24
28.0,DR. SACHIN SAHEBRAO PATIL,Independent,346,5,351,0.03,24 - Kalyan (Maharashtra),13,24
29.0,NOTA,None of the Above,11603,83,11686,1.12,24 - Kalyan (Maharashtra),13,24
,Total,,1042476,3260,1045736,,24 - Kalyan (Maharashtra),13,24
1.0,NARESH GANPAT MHASKE,Shiv Sena,732109,2122,734231,56.09,25 - Thane (Maharashtra),13,25
2.0,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),515013,2207,517220,39.51,25 - Thane (Maharashtra),13,25
3.0,SANTOSH BHIKAJI BHALERAO,Bahujan Samaj Party,10602,60,10662,0.81,25 - Thane (Maharashtra),13,25
4.0,ADV. GURUDEV NARSINGH SURYAWANSHI,Independent,3489,5,3494,0.27,25 - Thane (Maharashtra),13,25
5.0,MUKESH KAILASNATH TIWARI,Bhim Sena,2509,13,2522,0.19,25 - Thane (Maharashtra),13,25
6.0,JHA SUBHASH CHANDRA,Sardar Vallabhbhai Patel Party,2354,4,2358,0.18,25 - Thane (Maharashtra),13,25
7.0,DR. PIYUSH K. SAXENA,Independent,2292,1,2293,0.18,25 - Thane (Maharashtra),13,25
8.0,CHANDRAKANT VITTHAL SONAWANE,Independent,2245,4,2249,0.17,25 - Thane (Maharashtra),13,25
9.0,VIJAY DNYANOBA GHATE,Republican Bahujan Sena,1870,17,1887,0.14,25 - Thane (Maharashtra),13,25
10.0,IRFAN IBRAHIM SHAIKH,Independent,1867,8,1875,0.14,25 - Thane (Maharashtra),13,25
11.0,PRAMOD ANANDRAO DHUMAL,Independent,1785,1,1786,0.14,25 - Thane (Maharashtra),13,25
12.0,BHANWARLAL KHETMAL MEHTA,Hindu Samaj Party,1483,5,1488,0.11,25 - Thane (Maharashtra),13,25
13.0,UTTAM KISANRAO TIRPUDE,Peoples Party of India (Democratic),1349,5,1354,0.1,25 - Thane (Maharashtra),13,25
14.0,ARCHANA DINKAR GAIKWAD,Independent,1164,16,1180,0.09,25 - Thane (Maharashtra),13,25
15.0,SALIMA MUKTAR VASANI,Bahujan Maha Party,905,7,912,0.07,25 - Thane (Maharashtra),13,25
16.0,RAJIV KONDIBA BHOSALE,Independent,878,8,886,0.07,25 - Thane (Maharashtra),13,25
17.0,RAHUL JAGBIRSINGH MEHAROLIYA,Bahujan Republican Socialist Party,818,-,818,0.06,25 - Thane (Maharashtra),13,25
18.0,RAJENDRA RAMCHANDRA SANKHE,Bharatheeya Jawan Kisan Party,759,8,767,0.06,25 - Thane (Maharashtra),13,25
19.0,KHAJASAB RASULSAB MULLA,Independent,646,2,648,0.05,25 - Thane (Maharashtra),13,25
20.0,SANJAY MANOHAR MORE,Independent,639,4,643,0.05,25 - Thane (Maharashtra),13,25
21.0,MALLIKARJUN SAYBANNA PUJARI,Independent,597,2,599,0.05,25 - Thane (Maharashtra),13,25
22.0,SAWALE DATTATRAY SITARAM,Independent,529,2,531,0.04,25 - Thane (Maharashtra),13,25
23.0,SURENDRAKUMAR K. JAIN,Independent,438,2,440,0.03,25 - Thane (Maharashtra),13,25
24.0,SIDDHANT CHHABAN SHIRSAT,Independent,319,5,324,0.02,25 - Thane (Maharashtra),13,25
25.0,NOTA,None of the Above,17768,133,17901,1.37,25 - Thane (Maharashtra),13,25
,Total,,1304427,4641,1309068,,25 - Thane (Maharashtra),13,25
1.0,PIYUSH GOYAL,Bharatiya Janata Party,678451,1695,680146,65.68,26 - Mumbai North (Maharashtra),13,26
2.0,BHUSHAN PATIL,Indian National Congress,321455,1083,322538,31.15,26 - Mumbai North (Maharashtra),13,26
3.0,ADV. SONAL DIWAKAR GONDANE,Vanchit Bahujan Aaghadi,6007,45,6052,0.58,26 - Mumbai North (Maharashtra),13,26
4.0,RAIS DOCTOR,Bahujan Samaj Party,2907,16,2923,0.28,26 - Mumbai North (Maharashtra),13,26
5.0,PANDEY DHARMENDRA RAMMURAT,Independent,1481,-,1481,0.14,26 - Mumbai North (Maharashtra),13,26
6.0,DIPTI ASHOK WALAWALKAR,Independent,1461,11,1472,0.14,26 - Mumbai North (Maharashtra),13,26
7.0,COMRADE JAYRAM VISHWAKARMA,Socialist Unity Centre Of India (COMMUNIST),1194,1,1195,0.12,26 - Mumbai North (Maharashtra),13,26
8.0,MUNNALAL GAJRAJ PRAJAPATI,Independent,968,3,971,0.09,26 - Mumbai North (Maharashtra),13,26
9.0,LAXMAN YELLPPA KURADE,Independent,680,6,686,0.07,26 - Mumbai North (Maharashtra),13,26
10.0,ADVOCATE KAPIL K. SONI,Independent,630,3,633,0.06,26 - Mumbai North (Maharashtra),13,26
11.0,DEEPALI BHAWARSING SHEKHAWAT,Maharashtra Vikas Aghadi,621,4,625,0.06,26 - Mumbai North (Maharashtra),13,26
12.0,KAMLESH DAYABHAI VYAS,Sardar Vallabhbhai Patel Party,619,3,622,0.06,26 - Mumbai North (Maharashtra),13,26
13.0,BIPIN BACHUBHAI SHAH,Hindu Samaj Party,505,3,508,0.05,26 - Mumbai North (Maharashtra),13,26
14.0,GURUDAS RAMDAS KHAIRNAR,Independent,484,2,486,0.05,26 - Mumbai North (Maharashtra),13,26
15.0,RAVI BABU GAVLI,Samata Party,447,3,450,0.04,26 - Mumbai North (Maharashtra),13,26
16.0,JAEENDRA VASANT SURVE,Bharatheeya Jawan Kisan Party,398,7,405,0.04,26 - Mumbai North (Maharashtra),13,26
17.0,ALIEK SUNDER MESHRAM,Bharatiya Mulnivasi Aazad Party,393,3,396,0.04,26 - Mumbai North (Maharashtra),13,26
18.0,SAYED ZULFIQAR ALAM,Bahujan Maha Party,344,4,348,0.03,26 - Mumbai North (Maharashtra),13,26
19.0,SANJAY MAFATLAL MORAKHIA,Independent,210,-,210,0.02,26 - Mumbai North (Maharashtra),13,26
20.0,NOTA,None of the Above,13248,98,13346,1.29,26 - Mumbai North (Maharashtra),13,26
,Total,,1032503,2990,1035493,,26 - Mumbai North (Maharashtra),13,26
1.0,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),451095,1501,452596,47.4,27 - Mumbai North West (Maharashtra),13,27
2.0,RAVINDRA DATTARAM WAIKAR,Shiv Sena,451094,1550,452644,47.4,27 - Mumbai North West (Maharashtra),13,27
3.0,PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan Aaghadi,10001,51,10052,1.05,27 - Mumbai North West (Maharashtra),13,27
4.0,RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,4790,22,4812,0.5,27 - Mumbai North West (Maharashtra),13,27
5.0,SAMEER MORE,Independent,3171,2,3173,0.33,27 - Mumbai North West (Maharashtra),13,27
6.0,SUNIL BHIMA CHAVAN,Independent,1999,3,2002,0.21,27 - Mumbai North West (Maharashtra),13,27
7.0,BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),1756,7,1763,0.18,27 - Mumbai North West (Maharashtra),13,27
8.0,ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,1667,8,1675,0.18,27 - Mumbai North West (Maharashtra),13,27
9.0,ROHAN SATONE,Independent,1476,3,1479,0.15,27 - Mumbai North West (Maharashtra),13,27
10.0,ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,1184,13,1197,0.13,27 - Mumbai North West (Maharashtra),13,27
11.0,ADV. LATA PANDURANG SHINDE,Independent,1152,2,1154,0.12,27 - Mumbai North West (Maharashtra),13,27
12.0,MANOJ SHRAVAN NAYAK,Right to Recall Party,1132,17,1149,0.12,27 - Mumbai North West (Maharashtra),13,27
13.0,HRUDA DHANANJAY SHINDE,Independent,1066,12,1078,0.11,27 - Mumbai North West (Maharashtra),13,27
14.0,BHARAT KHIMJI SHAH,Hindu Samaj Party,932,5,937,0.1,27 - Mumbai North West (Maharashtra),13,27
15.0,SUSHMA DAYANAND MEHTA,Independent,875,7,882,0.09,27 - Mumbai North West (Maharashtra),13,27
16.0,ADVOCATE KAPIL KANTILAL SONI,Independent,776,4,780,0.08,27 - Mumbai North West (Maharashtra),13,27
17.0,SARIKA DABRAL,India Greens Party,760,8,768,0.08,27 - Mumbai North West (Maharashtra),13,27
18.0,GAJANAN TUKARAM SONKAMBLE,Independent,496,5,501,0.05,27 - Mumbai North West (Maharashtra),13,27
19.0,ADV MITESH VARSHNEY,Bhim Sena,492,5,497,0.05,27 - Mumbai North West (Maharashtra),13,27
20.0,HARISHANKAR YADAV,Samaj Vikas Kranti Party,398,7,405,0.04,27 - Mumbai North West (Maharashtra),13,27
21.0,SANTOSH MANIK RAYBAN,Independent,234,-,234,0.02,27 - Mumbai North West (Maharashtra),13,27
22.0,NOTA,None of the Above,15036,125,15161,1.59,27 - Mumbai North West (Maharashtra),13,27
,Total,,951582,3357,954939,,27 - Mumbai North West (Maharashtra),13,27
1.0,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),448604,2333,450937,48.67,28 - Mumbai North East (Maharashtra),13,28
2.0,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,419589,1487,421076,45.45,28 - Mumbai North East (Maharashtra),13,28
3.0,DAULAT KADAR KHAN,Vanchit Bahujan Aaghadi,14571,86,14657,1.58,28 - Mumbai North East (Maharashtra),13,28
4.0,NANDESH VITHAL UMAP,Bahujan Samaj Party,8217,101,8318,0.9,28 - Mumbai North East (Maharashtra),13,28
5.0,DR. SUSHMA MAURYA,Independent,2886,5,2891,0.31,28 - Mumbai North East (Maharashtra),13,28
6.0,SANJAY B. PATIL,National People's Party,2757,7,2764,0.3,28 - Mumbai North East (Maharashtra),13,28
7.0,SANJU MARUTI PAWAR,Maharashtra Vikas Aghadi,2555,27,2582,0.28,28 - Mumbai North East (Maharashtra),13,28
8.0,PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,2338,35,2373,0.26,28 - Mumbai North East (Maharashtra),13,28
9.0,PREM RAMAPATI GUPTA,Independent,1598,3,1601,0.17,28 - Mumbai North East (Maharashtra),13,28
10.0,MOHAMMED AHMED SHAIKH,Independent,1289,5,1294,0.14,28 - Mumbai North East (Maharashtra),13,28
11.0,MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,1085,5,1090,0.12,28 - Mumbai North East (Maharashtra),13,28
12.0,VIDYA NAIK,Independent,974,5,979,0.11,28 - Mumbai North East (Maharashtra),13,28
13.0,BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,941,5,946,0.1,28 - Mumbai North East (Maharashtra),13,28
14.0,BANSODE DILIP,Independent,831,7,838,0.09,28 - Mumbai North East (Maharashtra),13,28
15.0,BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,742,4,746,0.08,28 - Mumbai North East (Maharashtra),13,28
16.0,DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,707,4,711,0.08,28 - Mumbai North East (Maharashtra),13,28
17.0,COMRADE SURENDRA SIBAG,All India Forward Bloc,675,3,678,0.07,28 - Mumbai North East (Maharashtra),13,28
18.0,SHAHAJI NANAI THORAT,Independent,648,2,650,0.07,28 - Mumbai North East (Maharashtra),13,28
19.0,SANJAY SAOJI DESHPANDE,Republican Party of India,641,-,641,0.07,28 - Mumbai North East (Maharashtra),13,28
20.0,SANJAY PATIL,Independent,520,4,524,0.06,28 - Mumbai North East (Maharashtra),13,28
21.0,NOTA,None of the Above,10088,85,10173,1.1,28 - Mumbai North East (Maharashtra),13,28
,Total,,922256,4213,926469,,28 - Mumbai North East (Maharashtra),13,28
1.0,GAIKWAD VARSHA EKNATH,Indian National Congress,444098,1447,445545,48.93,29 - Mumbai North Central (Maharashtra),13,29
2.0,ADV UJWAL NIKAM,Bharatiya Janata Party,427387,1644,429031,47.12,29 - Mumbai North Central (Maharashtra),13,29
3.0,SANTOSH GANPAT AMBULGE,Vanchit Bahujan Aaghadi,8233,55,8288,0.91,29 - Mumbai North Central (Maharashtra),13,29
