S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
4.0,SANJAY KUMAR,Bahujan Samaj Party,15182,17,15199,1.04,1 - SURGUJA (Chhattisgarh),26,1
5.0,RAMADHAR SINGH,Independent,10857,4,10861,0.75,1 - SURGUJA (Chhattisgarh),26,1
6.0,PRINCE ABHISHEK KUJUR,Independent,6803,12,6815,0.47,1 - SURGUJA (Chhattisgarh),26,1
7.0,URMILA SINGH,Independent,5779,5,5784,0.4,1 - SURGUJA (Chhattisgarh),26,1
8.0,ARVIND KACHHAP,Independent,4166,18,4184,0.29,1 - SURGUJA (Chhattisgarh),26,1
9.0,KANTA MINJ,Akhil Bhartiya Parivar Party,4008,8,4016,0.28,1 - SURGUJA (Chhattisgarh),26,1
10.0,JEROME MINJ,Bharat Adivasi Party,3035,25,3060,0.21,1 - SURGUJA (Chhattisgarh),26,1
11.0,NOTA,None of the Above,28107,14,28121,1.93,1 - SURGUJA (Chhattisgarh),26,1
,Total,,1453064,2205,1455269,,1 - SURGUJA (Chhattisgarh),26,1
1.0,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63,2 - RAIGARH (Chhattisgarh),26,2
2.0,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08,2 - RAIGARH (Chhattisgarh),26,2
3.0,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07,2 - RAIGARH (Chhattisgarh),26,2
4.0,ALBERT MING,Hamar Raj Party,10915,44,10959,0.75,2 - RAIGARH (Chhattisgarh),26,2
5.0,PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53,2 - RAIGARH (Chhattisgarh),26,2
6.0,RUPNARAYAN EKKA,Independent,7410,10,7420,0.51,2 - RAIGARH (Chhattisgarh),26,2
7.0,GOWARDHAN RATHIA,Independent,4591,2,4593,0.32,2 - RAIGARH (Chhattisgarh),26,2
8.0,POOJA SIDAR,Independent,4159,8,4167,0.29,2 - RAIGARH (Chhattisgarh),26,2
9.0,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21,2 - RAIGARH (Chhattisgarh),26,2
10.0,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18,2 - RAIGARH (Chhattisgarh),26,2
11.0,UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15,2 - RAIGARH (Chhattisgarh),26,2
12.0,ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13,2 - RAIGARH (Chhattisgarh),26,2
13.0,BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12,2 - RAIGARH (Chhattisgarh),26,2
14.0,NOTA,None of the Above,14993,29,15022,1.03,2 - RAIGARH (Chhattisgarh),26,2
,Total,,1449708,3257,1452965,,2 - RAIGARH (Chhattisgarh),26,2
1.0,KAMLESH JANGDE,Bharatiya Janata Party,675740,2459,678199,48.71,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
2.0,DR. SHIVKUMAR DAHARIYA,Indian National Congress,616131,2068,618199,44.4,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
3.0,DR. ROHIT DAHARIA,Bahujan Samaj Party,48089,412,48501,3.48,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
4.0,ENGINEER REVA KURREY,Independent,8158,1,8159,0.59,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
5.0,AD. T.R. NIRALA,Independent,5792,2,5794,0.42,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
6.0,ANIL MANHAR,Hamar Raj Party,5770,10,5780,0.42,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
7.0,VIDYA DEVI SONI,Independent,4877,4,4881,0.35,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
8.0,MINA CHAUHAN,Independent,2929,2,2931,0.21,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
9.0,ANAND GILHARE,Independent,2876,1,2877,0.21,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
10.0,DEEPAK KUMAR KHUNTE,Aazad Samaj Party (Kanshi Ram),1822,7,1829,0.13,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
11.0,ARVIND KUMAR,Independent,1710,5,1715,0.12,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
12.0,GOPAL PRASAD KHUNTE,Bhartiya Shakti Chetna Party,1471,12,1483,0.11,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
13.0,VIJAYLAXMI SURYAWANSHI NAT,Asankhya Samaj Party,1417,5,1422,0.1,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
14.0,SIMA MAHILANGE,Independent,1333,3,1336,0.1,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
15.0,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),1248,5,1253,0.09,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
16.0,VIJAY KUMAR KURRE,Rashtriya Jansabha Party,981,2,983,0.07,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
17.0,BRINDA CHAUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,921,3,924,0.07,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
18.0,JAGJIVAN RAM SATNAMI,Azad Janata Party,833,4,837,0.06,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
19.0,NOTA,None of the Above,5098,39,5137,0.37,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
,Total,,1387196,5044,1392240,,3 - JANJGIR-CHAMPA (Chhattisgarh),26,3
1.0,JYOTSNA CHARANDAS MAHANT,Indian National Congress,569098,1084,570182,46.53,4 - KORBA (Chhattisgarh),26,4
2.0,SAROJ PANDEY,Bharatiya Janata Party,525733,1166,526899,43.0,4 - KORBA (Chhattisgarh),26,4
3.0,SHYAM SINGH MARKAM,Gondvana Gantantra Party,48498,89,48587,3.97,4 - KORBA (Chhattisgarh),26,4
4.0,NIRDOSH KUMAR YADAV,Independent,11267,1,11268,0.92,4 - KORBA (Chhattisgarh),26,4
5.0,DUJRAM BOUDDH,Bahujan Samaj Party,10689,50,10739,0.88,4 - KORBA (Chhattisgarh),26,4
6.0,JAICHANDRA SONPAKAR,Independent,6181,1,6182,0.5,4 - KORBA (Chhattisgarh),26,4
7.0,PALAN SINGH,Independent,5706,3,5709,0.47,4 - KORBA (Chhattisgarh),26,4
8.0,KAMAL DEV,Bhartiya Shakti Chetna Party,4985,3,4988,0.41,4 - KORBA (Chhattisgarh),26,4
9.0,DILIP MIRI,Independent,3897,5,3902,0.32,4 - KORBA (Chhattisgarh),26,4
10.0,KAUSHALYA BAI PORTE,Independent,3630,2,3632,0.3,4 - KORBA (Chhattisgarh),26,4
11.0,PRATAP BHANU,Independent,2500,4,2504,0.2,4 - KORBA (Chhattisgarh),26,4
12.0,SANTOSH SHARMA,Independent,2475,2,2477,0.2,4 - KORBA (Chhattisgarh),26,4
13.0,AMRIKA KARPE,Independent,2227,5,2232,0.18,4 - KORBA (Chhattisgarh),26,4
14.0,RAJGURU KEWAL GOSWAMI,Independent,2202,-,2202,0.18,4 - KORBA (Chhattisgarh),26,4
15.0,SHOBRAN SINGH SAIMA,Independent,2072,1,2073,0.17,4 - KORBA (Chhattisgarh),26,4
16.0,KALYAN SINGH TANWAR,Independent,1960,4,1964,0.16,4 - KORBA (Chhattisgarh),26,4
17.0,RAJESH PANDEY,Independent,1814,-,1814,0.15,4 - KORBA (Chhattisgarh),26,4
18.0,SUSHIL KUMAR VISHWAKARMA,Bhartiya Janta Secular Party,1684,1,1685,0.14,4 - KORBA (Chhattisgarh),26,4
